sources,tag,solver
0xDef1C0ded9bec7F1a1670819833240f027b25EfF,0x,0x
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,0x
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,0x
0x1111111254EEB25477B68fb85Ed929f73A960582,1inch V5,1Inch
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,1Inch
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,1Inch
0xBA12222222228d8Ba445958a75a0704d566BF2C8,Balancer,BalancerSOR
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,BalancerSOR
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,BalancerSOR
0xBA12222222228d8Ba445958a75a0704d566BF2C8,Balancer,Barter
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,Barter
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,Barter
0xB576491F1E6e5E62f1d8F26062Ee822B40B0E0d4,Curve.fi CVX/ETH,Barter
0x6e314039f4C56000F4ebb3a7854A84cC6225Fb92,Curve.fi ETH/BTRFLY,Barter
0x342D1C4Aa76EA6F5E5871b7f11A019a0eB713A4f,Curve.fi Factory Pool CLEV/ETH,Barter
0x838af967537350D2C44ABB8c010E49E32673ab94,Curve.fi Factory Pool CNC/ETH,Barter
0xf861483fa7E511fbc37487D91B6FAa803aF5d37c,Curve.fi Factory Pool FPI2Pool (FRAX),Barter
0xC15F285679a1Ef2d25F53D4CbD0265E1D02F2A92,Curve.fi Factory Pool FXN/ETH,Barter
0x0E9B5B092caD6F1c5E6bc7f89Ffe1abb5c95F1C2,Curve.fi Factory Pool GEAR/ETH,Barter
0xFc1e8bf3E81383Ef07Be24c3FD146745719DE48D,Curve.fi Factory Pool OHM/FraxBP,Barter
0x75A6787C7EE60424358B449B539A8b774c9B4862,Curve.fi Factory Pool PAL/ETH,Barter
0xc89570207c5BA1B0E3cD372172cCaEFB173DB270,Curve.fi Factory Pool Prisma mkUSD/ETH,Barter
